Brand,Version,Supplier,Supplier_type,Country,City,Address,IATA,City_airport,climate_impact_kg_co2,flight_distance_km,co2_emissions_kg,climate_impact_of_contrails_ozone_formation_etc_kg,Fuel_consumption_l
American Brands,,American Auto Parts,spare parts,Argentina,Lincoln,"388 Lincoln Road, Addington, Christchurch 8011, New Zealand",LNK,Lincoln,"2,174","7,205",743,"1,431",294
American Brands,,American Auto Services,service,Canada,West End,"130 West End Lane, Harlington, Hayes UB3 5LY, UK",WTD,West End,"1,939","6,572",665,"1,275",263
American Brands,,American Automobile,service,France,Yerres,"79 Rue Principale, 67360 Oberdorf-Spachbach, France",AVO,Avon,"1,998","6,735",684,"1,314",271
American Brands,,American Autoparts,spare parts,United Kingdom,Redhill,"74 Holmethorpe Avenue, Holmethorpe, Redhill RH1 2NL, UK",NEW,New Malden,"2,216","7,311",757,"1,459",299
American Brands,,American Classic Car Sales,service,United States,Sarasota,"1683 Cattlemen Rd, Sarasota, FL 34232, USA",SRQ,Sarasota,"2,033","6,834",696,"1,337",275
American Brands,,American Classic Cars,service,,,"2282 E Arrow Hwy, La Verne, L A, CA 91750, USA",NNG,,"3,584","10,614","1,215","2,369",481
American Brands,,American Customs & Classics,service,New Zealand,Wellington,"26 Unsworth Road, Hamurana 3095, New Zealand",WLG,Wellington,"8,095","19,647","2,725","5,370","1,078"
American Brands,,American Dream Machines,service,United States,Des Moines,"1500 Locust Street, Des Moines, IA 50309, USA",DSM,Des Moines,"2,072","6,941",709,"1,363",280
American Brands,,American Historic Cars,service,France,Yerres,"2 Rue de l'Escudié, 11100 Montredon-des-Corbières France",AVO,Avon,"1,998","6,735",684,"1,314",271
American Brands,,American Muscle Motorsports & Services,service,Germany,Zwickau,"Wallonischer Ring 43, 52222 Stolberg, Germany",HOF,Hof,"1,623","5,691",559,"1,065",221
American Brands,,American Parts Depot,spare parts,United Kingdom,Manchester,"409 Main St West Manchester, OH 45382, USA",MHT,Manchester,"1,445","5,195",499,946,197
American Brands,,American Parts Service Centre 2000,spare parts,New Zealand,Wellington,"21-23 Selwyn Street, Onehunga, Auckland 1061, New Zealand",WLG,Wellington,"8,095","19,647","2,725","5,370","1,078"
American Brands,,American Special Parts Austria,spare parts,Austria,Wolfsberg,"Dragonerstraße 22, 4600 Wels, Austria",VCE,Venice,503,"1,964",185,318,73
American Brands,,American Used,service,Australia,Whyalla,"54 Mornington-Tyabb Rd, Tyabb VIC 3913, Australia",WYA,Whyalla,"6,789","17,032","2,288","4,501",905
American Brands,,Andrees KFZ-Meisterbetrieb,service,Germany,Zwickau,"Ostkamp 15, 26203 Wardenburg, Germany",HOF,Hof,"1,623","5,691",559,"1,065",221
American Brands,,AP Vintage Motors LLC,service,United States,Statesville,"340 S Meeting St, Statesville, NC 28677, USA",SVH,Statesville,"1,824","6,251",626,"1,198",248
American Brands,,Arena Motor Sales LLC,service,United States,Columbus,"867 Reynolds Ave, Columbus, OH 43201, USA",CLU,Columbus,"1,907","6,481",654,"1,253",259
American Brands,,Arizona USA Cars,service,Netherlands,Zwolle,"2e Industrieweg 8, 4147 CT Asperen, Netherlands",HLM,Holland,"1,850","6,322",634,"1,215",251
American Brands,,Arton USA Cars & Parts,spare parts,Belgium,Zwijndrecht,"W. Snelliusweg 39, 3331 EX Zwijndrecht, Netherlands",HLM,Holland,"1,850","6,322",634,"1,215",251
American Brands,,Australian Muscle Car Sales,service,Australia,Whyalla,"26-28 Barry Ave, Mortdale NSW 2223, Australia",WYA,Whyalla,"6,789","17,032","2,288","4,501",905
American Brands,,Auto Investors,service,United States,Dothan,"634 S Shady Ln, Dothan, AL 36301, USA",DHN,Dothan,"2,041","6,853",698,"1,342",276
American Brands,,B & B Auto Sales,service,United States,Brookings,"532 Main Ave S, Brookings, SD 57006, USA",BKX,Brookings,"2,101","7,021",719,"1,383",284
American Brands,,Bavariasportscars,service,Germany,Zwickau,"Dieselstraße 5, 85748 Garching bei München, Germany",HOF,Hof,"1,623","5,691",559,"1,065",221
American Brands,,Belcher Engineering Ltd,spare parts,,,"Briar Cottage, Briar Ln, Rickinghall Dis IP22 1NA, UK",NNG,,"3,584","10,614","1,215","2,369",481
American Brands,,Bessard Americaines,service,France,Yerres,"1358 Rue des Troubadours, 76190 Écretteville-lès-Baons, France",AVO,Avon,"1,998","6,735",684,"1,314",271
American Brands,,Big O Street Rods,service,Germany,Bremen,"790 Alabama Ave, Bremen, GA 30110, USA",BRE,Bremen,578,"2,148",211,368,83
American Brands,,Black Tie Classics,service,,,"6 South White Horse PikeStratford, NJ 08084USA",NNG,,"3,584","10,614","1,215","2,369",481
American Brands,,Blackdog Performance Cars,service,,,"600 Barclay Blvd, Lincolnshire, IL 60069, USA",NNG,,"3,584","10,614","1,215","2,369",481
American Brands,,Blackhawk Motors,service,United States,Gurnee,"1341 Estes Avenue, Gurnee, IL 60031, USA",BYG,Buffalo Grove,"2,366","7,690",807,"1,558",319
American Brands,,BlueLine Classics,service,United States,Cleveland,"11035 State Rd, Cleveland, OH 44133, USA",CGF,Cleveland,"1,743","6,026",599,"1,145",237
American Brands,,Bruce Horkey’s Wood and Parts,spare parts,,,"46284 440th St, Windom, MN 56101, USA",NNG,,"3,584","10,614","1,215","2,369",481
