Brand;Model;Submodel;Year;Origin
16;Hurricane Preselector;;1946 - 1948;
18;Hurricane;;1948 - 1953;
18;Hurricane Preselector;;1948 - 1953;
18;Limousine;;1950 - 1951;
18;Whitley;;1948 - 1953;
206;;GT;1968 - 1969;Italy
206;;SP;1966;Italy
208;;GT4;1975 - 1976;Italy
246;;GT;1969 - 1970;Italy
246;;GT;1970 - 1971;Italy
246;;GT;1971 - 1974;Italy
246;;GTS;1972 - 1974;Italy
308;;GT4;1973 - 1975;Italy
308;;GT4;1973 - 1976;Italy
Abarth;1000;Bialbero;1962 - 1963;Italy
Abarth;2200;Coupe;1959 - 1961;Italy
Abarth;124;Spider;1973 - 1975;Italy
Abarth;1300;Scorpione S;1969 - 1971;Italy
Abarth;131;Rally;1976 - 1978;Italy
Abarth;1500;Coupé Biposto;1952;italy
Abarth;800;Record Monza Coupé Zagato;1960 - 1962;Italy
Abarth;Autobianchi;A112;1971 - 1976;Italy
Abarth;Autobianchi;A112;1976 - 1985;Italy
Abarth;Ritmo;130 TC;1985 - 1986;Italy
Abarth;Ritmo;130 TC;1983 - 1985;Italy
Abarth;Ritmo;130 TC;1981 - 1983;Italy
Abarth;Simca;1300;1962  - 1963;Italy
Abarth;Simca;1300 GT;1964 - 1965;Italy
Abarth;Simca;1600;1963 - 1964;Italy
Abarth;Simca;2000 GT;1963 - 1964;Italy
Abarth;Simca;2000 GT;1964 - 1965;Italy
Adler;2 Liter;;1938 - 1940;Germany
Adler;Trumpf;Junior 1 E;1936 - 1941;Germany
Adler;Type 10;2.5 Litre;1937 - 1940;Germany
Alfa Romeo;1750 Spider;1A Duetto;1967 - 1969;Italy
Alfa Romeo;1900;;1954 - 1955;Italy
Alfa Romeo;2000;;1975-1975;Italy
Alfa Romeo;2600;2600 Spider;1962 - 1965;Italy
Alfa Romeo;33;1.3;1986 - 1989;Italy
Alfa Romeo;6;;1979 - 1983;Italy
Alfa Romeo;6C 2500;Freccia D'oro;1947 - 1950;Italy
Alfa Romeo;90;2.5 V6 Quadrifoglio Oro;1984 - 1986;Italy
Alfa Romeo;Alfasud;1.2;1972 - 1980;Italy
Alfa Romeo;Alfasud;1.2;1980 - 1981;Italy
Alfa Romeo;Alfasud Sprint;1.3;1976 -1979;Italy
Alfa Romeo;Alfetta;GT (Tipo 116);1974 - 1975;Italy
Alfa Romeo;Alfetta;GT 1.6 (Tipo 116);1976 - 1980;Italy
Alfa Romeo;Alfetta;GTV (Tipo 116);1976 - 1978;Italy
Alfa Romeo;Alfetta;GTV 2000 Turbodelta (Tipo 116);1979 - 1980;Italy
Alfa Romeo;Giulia;;1966 - 1974;Italy
Alfa Romeo;Giulia;;1971 - 1976;Italy
Alfa Romeo;Giulia;GTC;1965 - 1966;Italy
Alfa Romeo;Montreal;;1971 - 1977;Italy
Alfa Romeo;Zagato;RZ;1992 - 1993;Italy
Alfa Romeo;145;1.4;1994 - 1996;Italy
Alfa Romeo;145;1.4 16V T.Spark;1997 - 1999;Italy
Alfa Romeo;145;1.4 16V T.Spark;1999 - 2000;Italy
Alfa Romeo;145;1.4 16V T.Spark Edizione Sportiva;2000;Italy
Alfa Romeo;145;1.4 16V T.Spark Junior;1998 - 1999;Italy
Alfa Romeo;145;1.4 16V T.Spark L;1997 - 1999;Italy
Alfa Romeo;145;1.4 16V T.Spark L;1999 - 2000;Italy
Alfa Romeo;145;1.4 16V T.Spark Limited Edition 500;2000;Italy
Alfa Romeo;145;1.4 L;1994 - 1996;Italy
Alfa Romeo;145;1.6;1994 - 1996;Italy
Alfa Romeo;145;1.6 16V T.Spark;1997 - 1999;Italy
Alfa Romeo;145;1.6 16V T.Spark;1999 - 2000;Italy
Alfa Romeo;145;1.6 16V T.Spark Edizione Sportiva;2000;Italy
Alfa Romeo;145;1.6 16V T.Spark Junior;1998 - 1999;Italy
Alfa Romeo;145;1.6 16V T.Spark Limited Edition 500;2000;Italy
Alfa Romeo;145;1.7 16V;1994 - 1996;Italy
Alfa Romeo;145;1.8 16V T.Spark;1997 - 1998;Italy
Alfa Romeo;145;1.8 16V T.Spark;1998 - 1999;Italy
Alfa Romeo;145;1.8 16V T.Spark;1999 - 2000;Italy
Alfa Romeo;145;1.9 JTD 8V;1999 - 2000;Italy
Alfa Romeo;145;1.9 JTD 8V Edizione Sportiva;2000;Italy
Alfa Romeo;145;1.9 JTD 8V Limited Edition 500;2000;Italy
Alfa Romeo;145;2.0 16V T.Spark Quadrifoglio;1995 - 1996;Italy
Alfa Romeo;145;2.0 16V T.Spark Quadrifoglio;1997 - 1998;Italy
Alfa Romeo;145;2.0 16V T.Spark Quadrifoglio;1998 - 1999;Italy
Alfa Romeo;145;2.0 16V T.Spark Quadrifoglio;1999 - 2000;Italy
Alfa Romeo;145;2.0 TD;1997 - 1999;Italy
Alfa Romeo;145;TD;1996;Italy
Alfa Romeo;146;1.4;1995 - 1997;Italy
Alfa Romeo;146;1.4 16V T.Spark;1997 - 1999;Italy
Alfa Romeo;146;1.4 16V T.Spark;1999 - 2000;Italy
Alfa Romeo;146;1.4 16V T.Spark L;1997 - 1999;Italy
Alfa Romeo;146;1.4 16V T.Spark L;1999 - 2000;Italy
Alfa Romeo;146;1.4 L;1995 - 1997;Italy
Alfa Romeo;146;1.6;1995 - 1997;Italy
Alfa Romeo;146;1.6 16V T.Spark;1997 - 1999;Italy
Alfa Romeo;146;1.6 16V T.Spark;1999 - 2000;Italy
Alfa Romeo;146;1.7 16V;1995 - 1996;Italy
Alfa Romeo;146;1.8 16V T.Spark;1997 - 1998;Italy
Alfa Romeo;146;1.8 16V T.Spark;1998 - 1999;Italy
Alfa Romeo;146;1.8 16V T.Spark;1999 - 2000;Italy
Alfa Romeo;146;1.9 JTD 8V;1999 - 2000;Italy
Alfa Romeo;146;TD;1995 - 1997;Italy
Alfa Romeo;146;ti;1996 - 1997;Italy
Alfa Romeo;146;ti;1996 - 1998;Italy
Alfa Romeo;146;ti;1998 - 1999;Italy
Alfa Romeo;146;ti;1999 - 2000;Italy
Alfa Romeo;164;2.0 Twin Spark;1987 - 1993;Italy
Alfa Romeo;164;2.0 V6 Turbo;1991 - 1993;Italy
Alfa Romeo;164;3.0 V6;1988 - 1993;Italy
Alfa Romeo;164;3.0 V6;1993 - 1994;Italy
Alfa Romeo;164;3.0 V6 Automatic;1989 - 1993;Italy
Alfa Romeo;164;3.0 V6 Q4;1994 - 1997;Italy
Alfa Romeo;164;3.0 V6 Super;1994 - 1997;Italy
Alfa Romeo;164;Quadrifoglio Verde;1990 - 1993;Italy
Alfa Romeo;164;Super TD;1994 - 1997;Italy
Alfa Romeo;164;Super Twin Spark;1993 - 1997;Italy
Alfa Romeo;164;Super V6 24V;1993 - 1997;Italy
Alfa Romeo;164;V6 24V QV;1993 - 1994;Italy
Alfa Romeo;164;V6 Super Prima Klima;1994 - 1996;Italy
Alfa Romeo;1900;C;1954;Italy
Alfa Romeo;146;2.0 TD;1997 - 1999;Italy
Alfa Romeo;2000;Berlina;1970 - 1976;Italy
Alfa Romeo;2000;;1975 - 1976;Italy
Alfa Romeo;33;1.3;1983 - 1986;Italy
Alfa Romeo;33;1.3 Milano;1985 - 1986;Italy
Alfa Romeo;33;1.4 I.E. Imola;1993 - 1994;Italy
Alfa Romeo;33;1.4 I.E. L;1993 - 1994;Italy
Alfa Romeo;33;1.4 I.E. L;1991 - 1993;Italy
Alfa Romeo;33;1.5;1983 - 1984;Italy
Alfa Romeo;33;1.5 Quadrifoglio;1984 - 1986;Italy
Alfa Romeo;33;1.5 Milano;1985 - 1986;Italy
Alfa Romeo;33;1.5 4x4;1983 - 1984;Italy
Alfa Romeo;33;1.5 Quadrifoglio Oro;1984 - 1985;Italy
Alfa Romeo;33;1.5 Quadrifoglio Verde;1984 - 1986;Italy
Alfa Romeo;33;1.5 Ti;1986 - 1987;Italy
Alfa Romeo;33;1.7 I.E. Cat;1988 - 1990;Italy
Alfa Romeo;33;1.7 I.E.;1993 - 1994;Italy
Alfa Romeo;33;1.7 I.E.;1990 - 1993;Italy
Alfa Romeo;33;1.7 Quadrifoglio Verde;1988 - 1990;Italy
Alfa Romeo;33;16V;1993 - 1994;Italy
Alfa Romeo;33;16V Q4;1993 - 1994;Italy
Alfa Romeo;33;33 Giardinetta 1.5;1985 - 1986;Italy
Alfa Romeo;33;Giardinetta 1.5 4x4;1985 - 1986;Italy
Alfa Romeo;33;S 16V;1990 - 1993;Italy
Alfa Romeo;33;S 16V Q.V;1990 - 1993;Italy
Alfa Romeo;33;S 16V Q.V. Permanent 4;1991 - 1993;Italy
Alfa Romeo;33;Sport Wagon 1.4 I.E. L;1992 - 1993;Italy
Alfa Romeo;33;Sport Wagon 1.7 I.E.;1988 - 1990;Italy
Alfa Romeo;33;Sport Wagon 1.7 I.E.;1993 - 1994;Italy
Alfa Romeo;33;Sport Wagon 1.7 I.E.;1990 - 1993;Italy
Alfa Romeo;33;Sport Wagon 1.7 I.E. 4x4;1988 - 1990;Italy
Alfa Romeo;33;Sport Wagon 16V;1991 - 1992;Italy
Alfa Romeo;33;Sport Wagon 16V Q4;1993 - 1994;Italy
Alfa Romeo;33;Sport Wagon 16V Q4;1991 - 1992;Italy
Alfa Romeo;6;;1983 - 1986;Italy
Alfa Romeo;6c 2500;Gran Turismo;1950 - 1952;Italy
Alfa Romeo;6c 2500;Sport Cabriolet;1947 - 1952;Italy
Alfa Romeo;6c 2500;Super Sport Cabriolet;1947 - 1950;Italy
Alfa Romeo;75;1.6;1985 - 1987;Italy
Alfa Romeo;75;1.8;1985 - 1988;Italy
Alfa Romeo;75;1.8;1988 - 1989;Italy
Alfa Romeo;75;1.8 IE;1989 - 1990;Italy
Alfa Romeo;75;1.8 IE Catalytic;1990 - 1992;Italy
Alfa Romeo;75;1.8 Turbo America;1986 - 1988;Italy
Alfa Romeo;75;2.0;1985 - 1987;Italy
Alfa Romeo;75;2.0 T. Spark Cat.;1988;Italy
Alfa Romeo;75;2.0 T. Spark;1987 - 1988;Italy
Alfa Romeo;75;2.0 T. Spark Catalytic Limited Edition;1991 - 1992;Italy
Alfa Romeo;75;2.0 T. Spark Catalytic;1988 - 1992;Italy
Alfa Romeo;75;2.5 V6 Catalytic;1987 - 1988;Italy
Alfa Romeo;75;2.5 V6 Cat.Quadrifoglio Verde;1986 - 1987;Italy
Alfa Romeo;75;2.5 V6 Quadrifoglio Verde;1986 - 1987;Italy
Alfa Romeo;75;3.0 V6 Cat. Quadrifoglio Verde;1990 - 1992;Italy
Alfa Romeo;75;3.0 V6 Catalytic America;1987 - 1988;Italy
Alfa Romeo;75;3.0 V6 Catalytic America;1988 - 1990;Italy
Alfa Romeo;90;2.0 Iniezione;1984 - 1986;Italy
Alfa Romeo;90;2.4 Turbodiesel;1985 - 1987;Italy
Alfa Romeo;Alfasud;1.2 L;1975 - 1979;Italy
Alfa Romeo;Alfasud;1.3;1981 - 1982;Italy
Alfa Romeo;Alfasud;1.3;1980 - 1982;Italy
Alfa Romeo;Alfasud;1.3 SC;1982 - 1983;Italy
Alfa Romeo;Alfasud;1.3 Super;1978 - 1979;Italy
Alfa Romeo;Alfasud;1.3 Super;1979 - 1980;Italy
Alfa Romeo;Alfasud;1.3 ti;1973 - 1975;Italy
Alfa Romeo;Alfasud;1.3 ti;1977 - 1978;Italy
Alfa Romeo;Alfasud;1.3 ti;1978 - 1980;Italy
Alfa Romeo;Alfasud;1.3 ti;1980 - 1984;Italy
Alfa Romeo;Alfasud;1.3 ti;1981 - 1982;Italy
Alfa Romeo;Alfasud;1.5;1981 - 1982;Italy
Alfa Romeo;Alfasud;1.5;1980 - 1982;Italy
Alfa Romeo;Alfasud;1.5 Quadrifoglio;1982 - 1983;Italy
Alfa Romeo;Alfasud;1.5 Super;1979 - 1980;Italy
Alfa Romeo;Alfasud;1.5 ti;1978 - 1980;Italy
Alfa Romeo;Alfasud;1.5 ti;1979 - 1980;Italy
Alfa Romeo;Alfasud;1.5 ti;1980 - 1981;Italy
Alfa Romeo;Alfasud;1.5 ti;1981 - 1982;Italy
Alfa Romeo;Alfasud;1.5 ti;1982 - 1984;Italy
Alfa Romeo;Alfasud;Giardinetta 1.2;1975 - 1978;Italy
Alfa Romeo;Alfasud;Giardinetta 1.3;1978 - 1981;Italy
Alfa Romeo;Alfasud Sprint;1.5;1978 - 1979;Italy
Alfa Romeo;Alfasud Sprint;1.5;1979;Italy
Alfa Romeo;Alfasud Sprint;1.5 Veloce;1979 - 1983;Italy
Alfa Romeo;Alfetta;;1972 - 1974;Italy
Alfa Romeo;Alfetta;;1982 - 1984;Italy
Alfa Romeo;Alfetta;;1979 - 1982;Italy
Alfa Romeo;Alfetta;;1979 -1982;Italy
Alfa Romeo;Alfetta;;1975 - 1977;Italy
Alfa Romeo;Alfetta;;1977 - 1979;Italy
Alfa Romeo;Alfetta;;1977;Italy
Alfa Romeo;Alfetta;;1975 - 1976;Italy
Alfa Romeo;Alfetta;;1983 - 1984;Italy
Alfa Romeo;Alfetta;;1976 - 1977;Italy
Alfa Romeo;Alfetta;;1978 - 1982;Italy
Alfa Romeo;Allfetta;GTV (Tipo 116);1975 - 1976;Italy
Alfa Romeo;Alfetta;GTV V( (Tipo 116);1977;Italy
Alfa Romeo;Derivazione Abarth;1000;1958 - 1959;Italy
Alfa Romeo;Giulia Spider;;1963 - 1966;Italy
Alfa Romeo;Giulia Spider;;1964 - 1966;Italy
Alfa Romeo;Giulia;;1965 - 1967;Italy
Alfa Romeo;Giulia;;1968 - 1971;Italy
Alfa Romeo;Giulia;;1966 - 1968;Italy
Alfa Romeo;Giulia;;1963 - 1967;Italy
Alfa Romeo;Giulia;;1967 - 1971;Italy
Alfa Romeo;Giulietta;1.3;1977 - 1981;Italy
Alfa Romeo;Giuletta;1.3  Tipo 116 2a;1981 - 1983;Italy
Alfa Romeo;Giulietta;1.6 Tipo 116 2a;1981 - 1983;Italy
Alfa Romeo;Giulietta;1.6;1977 - 1981;Italy
Alfa Romeo;Giulietta;L Tipo 116 3a;1983 - 1985;Italy
Alfa Romeo;Giulietta;1.8;1979 - 1981;Italy
Alfa Romeo;Giulietta;1.8 L Tipo 116 2a;1981 - 1983;Italy
Alfa Romeo;Giulietta;1.8 L;1983 - 1985;Italy
Alfa Romeo;Giulietta;2.0;1979 - 1981;Italy
Alfa Romeo;Giulietta;L Tipo 116 2a;1981 - 1983;Italy
Alfa Romeo;Giulietta;Tutbo Diesel Tipo 116  3a;1983 - 1985;Italy
Alfa Romeo;Giulietta;Turbo Delta Tipo 116 3a;1983 - 1984;Italy
Alfa Romeo;Sprint Veloce;(Tipo 116);1978 - 1979;Italy
Alfa Romeo;Zagote;;1989 - 1992;Italy
Allard;J2;3.9;1949 - 1953;United Kingdom
Allard;J2;;1949 - 1953;United Kingdom
Allard;J2;;1949-1953;United Kingdom
ALPINA;B10;3.0 AWD;1993 - 1995;Germany
ALPINA;B10;3.5;1985 - 1987;Germany
ALPINA;B10;3.5;1988 - 1992;Germany
ALPINA;B10;4.0 Switch-Tronic;1993 - 1995;Germany
ALPINA;B10;4.6;1994 - 1995;Germany
ALPINA;B10;4.6 Switch-Tronic;1994 - 1995;Germany
ALPINA;B10;Bi-Turbo;1989 - 1994;Germany
ALPINA;B10;Touring 4.6;1994 - 1996;Germany
ALPINA;B10;Touring 3.0 AWD;1993 - 1996;Germany
ALPINA;B10;Touring 4.0 Switch-Tronic;1993 - 1995;Germany
ALPINA;B10;Touring 4.6 Switch-Tronic;1994 - 1996;Germany
ALPINA;B3;3.0;1993 - 1996;Germany
ALPINA;B3;3.2;1996 - 1998;Germany
ALPINA;B3;Cabriolet 3.0;1993 - 1996;Germany
ALPINA;B3;Cabriolet 3.2;1996 - 1999;Germany
ALPINA;B3;Coupe 3.0;1993 - 1996;Germany
ALPINA;B3;Coupe 3.2;1996 - 1999;Germany
ALPINA;B3;Touring 3.0;1995 - 1996;Germany
ALPINA;B3;Touring 3.2;1996 - 1999;Germany
ALPINA;B6;2.8;1978 - 1981;Germany
ALPINA;B6;2.8;1981 - 1983;Germany
ALPINA;B6;2.8;1992 - 1993;Germany
ALPINA;B6;3.5;1987 - 1990;Germany
ALPINA;B6;3.5 Catalyst;1987 - 1990;Germany
ALPINA;B6;Coupe 2.8;1992 - 1993;Germany
ALPINA;B7;S Turbo;1981 - 1982;Germany
ALPINA;B7;Turbo;1978 - 1982;Germany
ALPINA;B7;Turbo/1;1984 - 1987;Germany
ALPINA;B7;Turbo/1;1986 - 1987;Germany
ALPINA;B8;4.0;1995;Germany
ALPINA;B8;4.6;1995 - 1998;Germany
ALPINA;B8;Cabriolet 4.6;1995 - 1998;Germany
ALPINA;B8;Coupe 4.6;1995 - 1998;Germany
ALPINA;B8;Touring 4.6;1995 - 1998;Germany
ALPINA;B9;3.5;1981 - 1983;Germany
ALPINA;B9;3.5/1;1983 - 1985;Germany
ALPINA;C1;2.3;1980 - 1983;Germany
Alpine;A 110;Berlinette;1966 - 1968;France
Alpine;A 110;Berlinette;1962 - 1963;France
Alpine;A 110;Berlinette;1968 - 1969;France
Alpine;A310;;1971 - 1976;France
Alpine;A310;V6;1976 - 1985;France
Alpine;A610;Turbo;1991 - 1995;France
Alta;A200;;1968 - 1974;Greece
Alvis;TD21;Series II;1962 - 1963;United Kingdom
Alvis;TE 21;;1963 - 1965;United Kingdom
Alvis;TF 21;;1965 - 1967;United Kingdom
Alvis;Speed 20;;1932 - 1936;United Kingdom
Amphicar;770;;1961 - 1965;Germany
Apollo;3500;GT Coupe;1963;United States
Apollo;3500;GT Convertible;1963;United States
Apollo;5000;GT Convertible;1963 - 1965;United States
Armstrong Siddeley;Star Sapphire Saloon;;1959 - 1960;United Kingdom
Arnolt-Bristol;Bolide Roadster;;1954 - 1956;United States
Arnolt-Bristol;Deluxe Coupe;;1955;United States
Arnolt-Bristol;Deluxe Roadster;;1954 - 1960;United States
Ascort;TSV 1300;GT;1958 - 1960;Australia
Aston Martin;DB2/4;Mk II;1955 - 1957;United Kingdom
Aston Martin;DB7;Vantage;1999 - 2003;United Kingdom
Aston Martin;DB2;Drophead Coupe;1951;United Kingdom
Aston Martin;DB2;Drophead Coupe;1951 - 1953;United Kingdom
Aston Martin;DB2;Saloon;1950 - 1951;United Kingdom
Aston Martin;DB2;Saloon;1951 - 1953;United Kingdom
Aston Martin;DB2;Vantage Drophead Coupe;1951;United Kingdom
Aston Martin;DB2;Vantage Saloon;1951 - 1953;United Kingdom
Aston Martin;DB2/4;3L Mk I Saloon;1954 - 1955;United Kingdom
Aston Martin;DB2/4;Mk I Drophead Coupe;1953 - 1954;United Kingdom
Aston Martin;DB2/4;Mk I Saloon;1953 - 1954;United Kingdom
Aston Martin;DB2/4;Mk II Drophead Coupe;1955 - 1957;United Kingdom
Aston Martin;DB2/4;Mk II Saloon;1955 - 1957;United Kingdom
Aston Martin;DB2/4;DB2/4 Mk II;1955 - 1957;United Kingdom
Aston Martin;DB2/4;DB2/4 Mk III;1957 - 1959;United Kingdom
Aston Martin;DB7;Vantage Volante;1999 - 2003;United Kingdom
Aston Martin;V8;Coupe;1995 - 2001;United Kingdom
Aston Martin;V8;;1995 - 1999;United Kingdom
Aston Martin;V8;Volante;1998 - 1999;United Kingdom
Audi;100;Avant 1.6 GL;1979 - 1981;Germany
Audi;100;Avant 1.6 L;1979 - 1981;Germany
Audi;100;Avant 1.9 CL;1981 - 1982;Germany
Audi;100;Avant 1.9 GL;1981 - 1982;Germany
Audi;100;Avant 2.0 Diesel CD;1981 - 1982;Germany
Audi;100;Avant 2.0 Diesel CD5D;1979 - 1981;Germany
Audi;100;Avant 2.0 Diesel CL;1981 - 1982;Germany
Audi;100;Avant 2.0 Diesel GL;1981 - 1982;Germany
Audi;100;Avant 2.0 Diesel GL5D;1979 - 1981;Germany
Audi;100;Avant 2.0 Diesel L5D;1979 - 1981;Germany
Audi;100;Avant 2.2 CD;1981 - 1982;Germany
Audi;100;Avant 2.2 CD5E;1979 - 1981;Germany
Audi;100;Avant 2.2 CD5S;1979 - 1981;Germany
Audi;100;Avant 2.2 CL;1981 - 1982;Germany
Audi;100;Avant 2.2 GL;1981 - 1982;Germany
Audi;100;Avant 2.2 GL5E;1979 - 1981;Germany
Audi;100;Avant 2.2 GL5S;1979 - 1981;Germany
Audi;100;Avant 2.2 L5E;1979 - 1981;Germany
Audi;100;Avant 2.2 L5S;1979 - 1981;Germany
Audi;50;1.1 GL;1974 - 1976;Germany
Audi;50;1.1 GLS;1976 - 1977;Germany
Audi;50;1.1 LS;1974 - 1978;Germany
Audi;50;1.1 LS;1967 - 1977;Germany
Audi;50;1.3 GLS;1977 - 1978;Germany
Audi;Front;UW 220;1933 - 1934;Germany
Audi;Front;UW 225 Spezial Cabrio;1935 - 1938;Germany
Austin;A40;Sports;1950 - 1953;United Kingdom
Austin;A 30;;1951 - 1956;United Kingdom
Austin;A 35;Countryman;1956 - 1968;United Kingdom
Austin;A 40;Somerset;1952 - 1954;United Kingdom
Austin-Healey;100-4 BN1;;1953 - 1955;United Kingdom
Austin-Healey;100-4;BN2;1955 - 1956;United Kingdom
Austin-Healey;100-6;BN6;1957 - 1959;United Kingdom
Austin-Healey;3000 Mk I;BT7;1959 - 1961;United Kingdom
Austin-Healey;3000 Mk II;BJ7;1962 - 1964;United Kingdom
Austin-Healey;3000 Mk II;BT7;1959 -1961;United Kingdom
Austin-Healey;3000 Mk III;BJ8;1964 - 1967;United Kingdom
Austin-Healey;Sprite;Mk IV;1966 - 1968;United Kingdom
Austin-Healey;100-4;BN4;1956 - 1959;United Kingdom
Austin-Healey;100M;BN2;1955 - 1956;United Kingdom
Austin-Healey;100;S;1955;United Kingdom
Austin-Healey;3000 Mk I;BN7;1959 - 1961;United Kingdom
Austin-Healey;3000 Mk II;BN7;1961 - 1962;United Kingdom
Austin-Healey;Sprite;Mk II;1961 - 1964;United Kingdom
Austin-Healey;Sprite;Mk II;1962 - 1964;United Kingdom
Austin-Healey;Sprite;Mk III;1964 - 1966;United Kingdom
Austin-Healey;Sprite;Mk III;1962 -1964;United Kingdom
Authi;Austin;De Luxe;1974 - 1975;Spain
Authi;Mini;1000;1970 - 1975;Spain
Authi;Mini;1000 E;1969 - 1970;Spain
Authi;Mini;1000 S;1969 - 1970;Spain
Authi;Mini;1275 GT;1971 - 1973;Spain
Authi;Mini;850;1970 - 1975;Spain
Authi;Mini;Cooper;1973 - 1975;Spain
Authi;Victoria;;1972 - 1975;Spain
Authi;Victoria;De Luxe;1974 - 1975;Spain
Auto Union;1000;Coupe;1958 - 1961;Germany
Auto Union;1000;S;1961 - 1962;Germany
Auto Union;1000;Sp Coupe;1958 - 1965;Germany
Auto Union;1000;Sp Roadster;1958 - 1965;Germany
Auto Union;1000;;1958 - 1961;Germany
Auto Union;1000;Universal;1958 - 1963;Germany
Auto Union;1000;Coupe S;1961 - 1963;Germany
Auto Union;1000;Coupe S de Luxe;1962 - 1963;Germany
Autobianchi;A-112;;1969 - 1985;Italy
Autobianchi;A 112;Abarth;1982 -1985;Italy
Bentley;Arnage;R;2004 - 2006;United Kingdom
Bentley;Arnage;R;1999 - 2009;United Kingdom
Bentley;Continental R;;1992 - 2003;United Kingdom
Bentley;R;;1952 - 1955;United Kingdom
Bentley;S;;1955 - 1957;United Kingdom
Bentley;Arnage;;1988 - 1999;United Kingdom
Bentley;Arnage;Green Label;1999;United Kingdom
Bentley;Arnage;Red Label;1999 - 2004;United Kingdom
Bentley;Arnage;RL;2004 - 2006;United Kingdom
Bentley;Arnage;RL;2006 - 2009;United Kingdom
Bentley;Arnage;T;2004 - 2006;United Kingdom
Bentley;Arnage;T;2006 - 2010;United Kingdom
Bentley;Brooklands;RT;1997 - 1999;United Kingdom
Bentley;S;;1957 - 1959;United Kingdom
Bentley;S2;;1959 - 1962;United Kingdom
Bentley;S2;James Young;1960 - 1961;United Kingdom
Bentley;S2;Mulliner Drophead Coupe;1960 - 1961;United Kingdom
Bentley;S3;Continental Flying Spur Mulliner-Park Ward;1962 - 1965;United Kingdom
Bentley;S3;James Young;1962 - 1965;United Kingdom
Bentley;S3;Continental Mulliner-Park Ward;1962 - 1965;United Kingdom
Bentley;Turbo;RT;1997 - 1998;United Kingdom
Bitter;CD;;1972 - 1979;Germany
Bitter;SC;;1985 - 1986;Germany
Bitter;SC;;1983 - 1986;Germany
Bizzarini;5300 GT;;1966 - 1969;Italy
BMW;2000;C;1967 - 1968;Germany
BMW;2000;CS;1966 - 1972;Germany
BMW;2500;;1968 - 1971;Germany
BMW;3.0;S;1971;1977
BMW;3200;CS;1963 - 1965;Germany
BMW;326;;1936 - 1941;France
BMW;501;;1952 - 1958;
BMW;630;CS;1975 - 1979;Germany
BMW;635;CSi;1978 - 1982;Germany
BMW;740;i Automatic;1998 - 2001;Germany
BMW;850;i;1990 - 1992;Germany
BMW;Isetta;300;1958 - 1962;Germany
BMW;Isetta;300;1955 - 1956;Germany
BMW;1600;GT;1966 - 1968;Germany
BMW;2.8;L;1974 - 1977;Germany
BMW;2.8;L Automatic;1974 - 1977;Germany
BMW;2000;C Automatic;1965 - 1972;Germany
BMW;2002;Touring;1973 - 1974;Germany
BMW;2500;;1971 - 1977;Germany
BMW;2500;Automatic;1971 - 1977;Germany
BMW;2500;Automatic;1968 - 1971;Germany
BMW;2800;;1971 - 1974;Germany
BMW;2800;;1968 - 1971;Germany
BMW;2800;Automatic;1971 - 1974;Germany
BMW;2800;Automatic;1968 -1971;Germany
BMW;3.0;L;1974 - 1977;Germany
BMW;3.0;L Automatic;1974 - 1977;Germany
BMW;3.0;S Automatic;1971 - 1977;Germany
BMW;3.0;Si;1971 - 1977;Germany
BMW;3.0;Si Automatic;1971 - 1977;Germany
BMW;3.3;L;1974 - 1977;Germany
BMW;3.3;L Automatic;1974 - 1977;Germany
BMW;320;PS AM 1;1932;Germany
BMW;303;;1933 - 1934;Germany
BMW;309;;1934 - 1939;Germany
BMW;326;;1936 - 1941;Germany
BMW;327;;1937 - 1941;Germany
BMW;327;;1946 -1955;Germany
BMW;503;Cabrio;1956- 1960;Germany
BMW;503;Coupe;1956- 1960;Germany
BMW;507;Roadster;1956 - 1958;Germany
BMW;518;;1981 - 1984;Germany
BMW;518;i;1984 - 1986;Germany
BMW;520;i;1983 - 1985;Germany
BMW;520;i;1985 - 1987;Germany
BMW;520;I Automatic;1983 - 1985;Germany
BMW;520;I Automatic;1985 - 1987;Germany
BMW;520;I Catalyst;1987;Germany
BMW;520;I Catalyst Automatic;1987;Germany
BMW;520;I Catalyst Edition;1987;Germany
BMW;520;I Catalyst Edition Automatic;1987;Germany
BMW;524;d;1986 - 1987;Germany
BMW;524;td;1983 - 1987;Germany
BMW;524;td Automatic;1983 - 1987;Germany
BMW;524;td Edition;1987;Germany
BMW;524;td Edition Automatic;1983 - 1987;Germany
BMW;525;e;1983 - 1984;Germany
BMW;525;e;1984 - 1986;Germany
BMW;525;e Automatic;1983 - 1984;Germany
BMW;525;e Automatic;1984 - 1986;Germany
BMW;525;e Catalyst;1986 - 1987;Germany
BMW;525;e Catalyst Edition;1987;Germany
BMW;525;i;1981 - 1987;Germany
BMW;525;I Automatic;1981 - 1987;Germany
BMW;528;i;1981 - 1987;Germany
BMW;528;i Automatic;1981 - 1987;Germany
BMW;535;i;1985 - 1987;Germany
BMW;535;i Automatic;1985 - 1987;Germany
BMW;535;i Catalyst;1985 - 1987;Germany
BMW;535;i Catalyst Automatic;1985 - 1987;Germany
BMW;600;;1957 - 1959;Germany
BMW;628;Csi;1979 - 1982;Germany
BMW;628;CSi Coupé;1982 - 1987;Germany
BMW;633;CSi;1979 - 1982;Germany
BMW;633;CSi;1975 - 1979;Germany
BMW;635;CSi Kat.Coupé;1985 - 1987;Germany
