Category,Version,Supplier,Supplier_type,Country,City,Address,IATA,City_airport,climate_impact_kg_co2,flight_distance_km,co2_emissions_kg,climate_impact_of_contrails_ozone_formation_etc_kg,Fuel_consumption_l,total_climate_impact
American Brands,,B & B Auto Sales,service,United States,Brookings,"532 Main Ave S, Brookings, SD 57006, USA",BKX,Brookings,2101.0,7021.0,719.0,1383.0,284.0,3484.0
American Brands,,Bavariasportscars,service,Germany,Zwickau,"Dieselstraße 5, 85748 Garching bei München, Germany",HOF,Hof,1623.0,5691.0,559.0,1065.0,221.0,2688.0
American Brands,,Belcher Engineering Ltd,spare parts,,,"Briar Cottage, Briar Ln, Rickinghall Dis IP22 1NA, UK",NNG,,3584.0,10614.0,1215.0,2369.0,481.0,5953.0
American Brands,,Bessard Americaines,service,France,Yerres,"1358 Rue des Troubadours, 76190 Écretteville-lès-Baons, France",AVO,Avon,1998.0,6735.0,684.0,1314.0,271.0,3312.0
American Brands,,Big O Street Rods,service,Germany,Bremen,"790 Alabama Ave, Bremen, GA 30110, USA",BRE,Bremen,578.0,2148.0,211.0,368.0,83.0,946.0
American Brands,,Black Tie Classics,service,,,"6 South White Horse PikeStratford, NJ 08084USA",NNG,,3584.0,10614.0,1215.0,2369.0,481.0,5953.0
American Brands,,Blackdog Performance Cars,service,,,"600 Barclay Blvd, Lincolnshire, IL 60069, USA",NNG,,3584.0,10614.0,1215.0,2369.0,481.0,5953.0
American Brands,,Blackhawk Motors,service,United States,Gurnee,"1341 Estes Avenue, Gurnee, IL 60031, USA",BYG,Buffalo Grove,2366.0,7690.0,807.0,1558.0,319.0,3924.0
American Brands,,BlueLine Classics,service,United States,Cleveland,"11035 State Rd, Cleveland, OH 44133, USA",CGF,Cleveland,1743.0,6026.0,599.0,1145.0,237.0,2888.0
American Brands,,Bruce Horkey’s Wood and Parts,spare parts,,,"46284 440th St, Windom, MN 56101, USA",NNG,,3584.0,10614.0,1215.0,2369.0,481.0,5953.0
American Brands,,Bullitt Classic Cars,service,Colombia,Florida,"8690 S Florida Ave Floral City, FL 34436USA",LSC,Florida,3304.0,10054.0,1121.0,2183.0,443.0,5487.0
American Brands,,Burkhardt Motors,service,Germany,Zwickau,"Großsteinberger Straße 38, Pomßen 04668 Parthenstein, Germany",HOF,Hof,1623.0,5691.0,559.0,1065.0,221.0,2688.0
American Brands,,Burnyzz,service,United States,Ocala,"1 Aspen Road, Ocala, FL 34480, USA",OCF,Ocala,1987.0,6705.0,681.0,1307.0,269.0,3294.0
American Brands,,C & C Auto Sales,service,United States,Riverside,"613 River Rd, Riverside, NJ 08075, USA",RIV,Riverside,2933.0,9128.0,997.0,1936.0,394.0,4869.0
American Brands,,C&N Motor Cars,service,United States,Marysville,"15769 Watkins Road, Marysville, OH 43040, USA",MYV,Marysville,2890.0,9018.0,982.0,1907.0,389.0,4797.0
American Brands,,California Dream,service,Belgium,Zwijndrecht,"Iepenstraat 10, 9100 Sint-Niklaas, Belgium",HLM,Holland,1850.0,6322.0,634.0,1215.0,251.0,3065.0
American Brands,,California Dream Cars,service,Turkey,Van,"14217 Oxnard St, Van Nuys, CA 91401, USA",VAN,Van,1213.0,4547.0,421.0,792.0,167.0,2005.0
American Brands,,California Import Marc Lenaerts,service,Belgium,Zwijndrecht,"Olenseweg 382, 2260 Westerlo, Belgium",HLM,Holland,1850.0,6322.0,634.0,1215.0,251.0,3065.0
American Brands,,Carcraft Classics,service,United States,Canton,"321 Canton Rd, Cumming, GA 30040, USA",CTK,Canton,2116.0,7058.0,724.0,1392.0,286.0,3508.0
American Brands,,Carolina Muscle Cars,service,,,"301 South Wall Street, Benson, NC 27504, USA",NNG,,3584.0,10614.0,1215.0,2369.0,481.0,5953.0
American Brands,,Carroll Street Classics,service,United Kingdom,Manchester,"68 Carroll Street, Manchester, NH 03102, USA",MHT,Manchester,1445.0,5195.0,499.0,946.0,197.0,2391.0
American Brands,,Castleford American Autos,service,United Kingdom,Castleford,"30 Methley Rd, Castleford WF10 1NY, UK",LBA,Leeds,500.0,1824.0,185.0,314.0,73.0,814.0
American Brands,,Caviglia,spare parts,Switzerland,Zürich,"Grimselweg 3, 6005 Lucerne, Switzerland",ZRH,Zürich,427.0,1770.0,158.0,269.0,45.0,696.0
American Brands,,Cerone Automotive,service,,,"140 Day St, Newington, CT 06111, USA",NNG,,3584.0,10614.0,1215.0,2369.0,481.0,5953.0
